Ticker,Company,Market Cap,Overall Rating,Sector,Industry,Country,Valuation Grade,Profitability Grade,Growth Grade,Performance Grade,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,Dividend,Payout Ratio,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,EPS Q/Q,Sales Q/Q,Insider Own,Insider Trans,Inst Own,Inst Trans,Short Ratio,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Oper M,Profit M,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Volatility M,SMA20,SMA50,SMA200,52W High,52W Low,RSI,Earnings,Price,Target Price,Percent Diff
A,"Agilent Technologies, Inc.",41.93B,72.97,Healthcare,Diagnostics & Research,USA,B-,B+,C+,B-,22.82,2.37,6.05,7.6,-,51.96,0.63%,18.90%,6.10%,10.83%,14.80%,13.67%,8.90%,26.90%,4.90%,0.30%,-22.61%,90.70%,-3.31%,2.33,12.50%,25.00%,16.90%,2.1,1.5,0.49,0.53,54.50%,24.10%,19.10%,-7.41%,-7.13%,12.23%,8.09%,-3.82%,2.07%,-2.92%,-4.59%,5.42%,-10.19%,27.92%,43.33,Feb 28/a,143.93,164.29,14.1457653
AA,Alcoa Corporation,9.58B,52.82,Basic Materials,Aluminum,USA,B,D,C,C,10.75,-,0.77,1.95,7.03,35.46,0.72%,-,-130.10%,113.92%,-19.70%,12.30%,1.30%,-3.60%,-20.30%,0.20%,-40.71%,82.60%,-5.84%,1.48,-0.80%,-2.40%,0.40%,1.7,0.9,0.36,0.36,18.00%,5.50%,-1.00%,1.72%,10.75%,12.21%,-32.75%,22.10%,4.57%,11.52%,12.48%,15.62%,-43.40%,65.48%,64.74,Jan 18/a,55.52,55.64,0.216138329
AAAU,Goldman Sachs Physical Gold ETF,-,62.37,Financial,Exchange Traded Fund,USA,A+,D+,D+,C+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-5.01%,4.81%,8.46%,-3.84%,1.74%,0.82%,0.44%,-0.47%,4.40%,-10.53%,14.64%,51.58,-,18.41,-,
AAC,Ares Acquisition Corporation,737.28M,69.32,Financial,Shell Companies,USA,A,C,C-,B,-,-,-,1.35,-,-,-,0.00%,32.40%,-,-,-,-,-137.80%,-,-,-,92.10%,1.95%,1.05,2.10%,2.20%,-,0,0,0,0,-,-,-,0.79%,2.30%,3.43%,5.13%,1.79%,0.21%,0.37%,0.94%,2.80%,-0.10%,5.24%,66.13,-,10.25,-,
AACG,ATA Creativity Global,62.00M,71.55,Consumer Defensive,Education & Training Services,China,B+,C,B,B,-,-,2.13,2.98,7.13,-,-,-,63.50%,-37.10%,-22.00%,25.00%,-15.60%,54.80%,-5.80%,18.70%,0.00%,16.80%,-0.75%,0.83,-11.20%,-33.70%,-37.70%,0.2,0.2,0,0,50.00%,-29.20%,-27.30%,29.05%,9.14%,-23.60%,52.80%,50.00%,7.89%,5.71%,22.45%,17.97%,-27.65%,117.12%,58.2,-,1.91,19,894.7643979
AACI,Armada Acquisition Corp. I,207.93M,61.69,Financial,Shell Companies,USA,A,D+,C,C,-,-,-,1.4,519.83,-,-,-,-714.40%,-,-,-,-,129.80%,-,26.79%,0.00%,68.90%,7.01%,0.06,-0.60%,-0.70%,-,0.1,0.1,0,0.01,-,-,-,0.25%,0.85%,1.77%,-,-0.74%,1.59%,-0.55%,-0.73%,1.08%,-17.66%,17.35%,46.54,-,10.05,-,
AACIW,Armada Acquisition Corp. I,-,68.14,Financial,Shell Companies,USA,A+,D+,D+,B+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10.00%,83.33%,-63.32%,-,254.84%,27.51%,1.22%,49.84%,-44.41%,-73.49%,780.00%,54.7,-,0.11,-,
AADI,"Aadi Bioscience, Inc.",265.71M,68.45,Healthcare,Biotechnology,USA,A,C+,C+,C-,-,-,24.16,1.17,1.45,-,-,-,-712.40%,13.90%,-1.30%,-,-,92.60%,-,0.30%,0.00%,63.00%,11.49%,11.36,-40.20%,-46.50%,-77.90%,10.6,10.6,0,0,89.90%,-,-,-25.99%,-30.42%,-31.29%,-46.65%,-27.44%,3.63%,-19.99%,-23.76%,-28.73%,-53.66%,-12.25%,17.99,-,9.31,42.5,356.4983888
AADR,AdvisorShares Dorsey Wright ADR ETF,-,59.71,Financial,Exchange Traded Fund,USA,A+,D+,D+,C,-,-,-,-,-,-,3.98%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-1.35%,-0.77%,0.25%,-15.10%,4.16%,0.68%,1.52%,1.59%,1.04%,-18.65%,14.75%,56.34,-,49.74,-,
AAIC,Arlington Asset Investment Corp.,85.39M,74.09,Real Estate,REIT - Mortgage,USA,A,C-,B,B,10.9,-,1.91,0.47,6.19,-,-,0.00%,80.80%,-7.31%,26.50%,-9.37%,-19.70%,410.20%,214.00%,1.40%,0.00%,39.50%,-6.32%,0.27,0.20%,1.10%,-1.30%,-,-,1.8,4.17,65.30%,21.80%,4.50%,-0.65%,0.00%,-5.00%,-8.71%,3.75%,1.34%,0.58%,1.61%,-1.91%,-17.62%,14.72%,54.45,-,3.04,4.88,60.52631579
